time	Cai
1.002	0.00021416
2.502	0.000212108
4.002	0.000211098
5.502	0.000209111
7.002	0.000208133
8.502	0.000206207
10.002	0.000204601
10.102	0.000204514
10.202	0.000204438
10.302	0.000204371
10.402	0.000204314
10.502	0.000204265
10.602	0.000204224
10.702	0.000204191
10.802	0.000204182
10.902	0.000204208
11.002	0.000204251
11.102	0.000204313
11.202	0.000204401
11.302	0.000204456
11.45	0.000204815
11.55	0.000205092
11.65	0.000205472
11.75	0.000205986
11.85	0.000206672
11.95	0.000207577
12.05	0.000208753
12.15	0.000210266
12.25	0.000212192
12.35	0.000214619
12.45	0.000217651
12.55	0.000221403
12.65	0.000226006
12.75	0.0002316
12.85	0.000238334
12.95	0.000246354
13.05	0.000255802
13.15	0.000266796
13.25	0.000279426
13.35	0.000293737
13.45	0.000309717
13.55	0.000327295
13.65	0.000346333
13.75	0.000366632
13.85	0.000387936
13.95	0.000409949
14.05	0.000432344
14.15	0.00045478
14.25	0.00047692
14.35	0.000498442
14.45	0.00051906
14.55	0.000538527
14.65	0.000556654
14.75	0.000573306
14.85	0.00058841
14.95	0.000601945
15.05	0.000613942
15.15	0.000624469
15.25	0.000633621
15.35	0.000641513
15.45	0.000648269
15.55	0.000654015
15.65	0.000658873
15.75	0.000662958
15.85	0.000666375
15.95	0.000669219
16.05	0.000671575
16.15	0.000673516
16.25	0.000675106
16.35	0.0006764
16.45	0.000677446
16.55	0.000678282
16.65	0.000678944
16.75	0.00067946
16.85	0.000679854
16.95	0.000680146
17.05	0.000680354
17.15	0.000680492
17.25	0.000680571
17.35	0.000680602
17.546	0.000680571
19.046	0.00067859
20.546	0.000675806
22.046	0.000673068
23.546	0.000670398
25.046	0.000667784
26.546	0.000665225
28.046	0.000662719
29.546	0.000660268
31.046	0.000657873
32.546	0.000655535
34.046	0.000653253
35.546	0.000651027
37.046	0.000648857
38.546	0.00064674
40.046	0.000644676
41.546	0.000642663
43.046	0.000640698
44.546	0.000638781
46.046	0.00063691
47.546	0.000635081
49.046	0.000633295
50.546	0.000631548
52.046	0.000629839
53.546	0.000628166
55.046	0.000626527
56.546	0.00062492
58.046	0.000623343
59.546	0.000621795
61.046	0.000620272
62.546	0.000618774
64.046	0.000617298
65.546	0.000615843
67.046	0.000614406
68.546	0.000612985
70.046	0.000611578
71.546	0.000610184
73.046	0.000608799
74.546	0.000607422
76.046	0.000606052
77.546	0.000604685
79.046	0.000603319
80.546	0.000601952
82.046	0.000600583
83.546	0.000599209
85.046	0.000597827
86.546	0.000596436
88.046	0.000595033
89.546	0.000593615
91.046	0.000592182
92.546	0.00059073
94.046	0.000589257
95.546	0.000587761
97.046	0.000586239
98.546	0.00058469
100.046	0.00058311
101.546	0.000581498
103.046	0.000579851
104.546	0.000578165
106.046	0.000576439
107.546	0.000574669
109.046	0.00057285
110.546	0.000570981
112.046	0.000569412
113.546	0.000568066
115.046	0.000565274
116.546	0.000563825
118.046	0.00056081
119.546	0.000559236
121.046	0.000555938
122.546	0.000554202
124.046	0.000550041
125.546	0.000547182
127.046	0.000544145
128.546	0.000540899
130.046	0.000537411
131.546	0.000533655
133.046	0.00052961
134.546	0.000525265
136.046	0.000520628
137.546	0.000515724
139.046	0.000510591
140.546	0.000505276
142.046	0.000499827
143.546	0.000494285
145.046	0.000488679
146.546	0.000483031
148.046	0.000477353
149.546	0.000471653
151.046	0.000465938
152.546	0.000460215
154.046	0.000454496
155.546	0.000448796
157.046	0.000443133
158.546	0.000437527
160.046	0.000433805
161.546	0.000426482
163.046	0.000422887
164.546	0.000415836
166.046	0.000412382
167.546	0.000405617
169.046	0.000402305
170.546	0.000395821
172.046	0.000392646
173.546	0.000386431
175.046	0.000383388
176.546	0.000377428
178.046	0.00037451
179.546	0.000368792
181.046	0.000365992
182.546	0.000360504
184.046	0.000357816
185.546	0.000352547
187.046	0.000349965
188.546	0.000344903
190.046	0.000342422
191.546	0.000337557
193.046	0.000335172
194.546	0.000330494
196.046	0.0003282
197.546	0.0003237
199.046	0.000321493
200.546	0.000317163
202.046	0.000315038
203.546	0.000310869
205.046	0.000308824
206.546	0.000304808
208.046	0.000302838
209.546	0.000298969
211.046	0.00029707
212.546	0.000293341
214.046	0.00029151
215.546	0.000287915
217.046	0.000286149
218.546	0.000282681
220.046	0.000280978
221.546	0.000277632
223.046	0.000275989
224.546	0.000272759
226.046	0.000271172
227.546	0.000268054
229.046	0.000266522
230.546	0.000263511
232.046	0.000262031
233.546	0.000259121
235.046	0.000257691
236.546	0.00025488
238.046	0.000253498
239.546	0.00025078
241.046	0.000249443
242.546	0.000246815
244.046	0.000245523
245.546	0.000242982
247.046	0.000241732
248.546	0.000239272
250.046	0.000238063
251.546	0.000235683
253.046	0.000234513
254.546	0.000232209
256.046	0.000231076
257.546	0.000228846
259.046	0.000227749
260.546	0.000225589
262.046	0.000224526
263.546	0.000222434
265.046	0.000221405
266.546	0.000219378
268.046	0.00021838
269.546	0.000216416
271.046	0.000215449
272.546	0.000213545
274.046	0.000212607
275.546	0.000210761
277.046	0.000209852
278.546	0.000208062
280.046	0.00020718
281.546	0.000205444
283.046	0.000204589
284.546	0.000202904
286.046	0.000202075
287.546	0.00020044
289.046	0.000199635
290.546	0.000198049
292.046	0.000197267
293.546	0.000195727
295.046	0.000194969
296.546	0.000193474
298.046	0.000192737
299.546	0.000191285
